product_id,product_name,product_type,product_quanity,product_price,total_products
2101,Nazirshail Rice Premium,Rice,5 kg,৳ 300,50
2102,Miniket Rice Premium,Rice,5 kg,৳ 285,67
2103,Miniket Rice Standard,Rice,5 kg,৳ 266,40
2104,Chinigura Rice (Polaw),Rice,1 kg,৳ 110,138
2105,Aathash Rice,Rice,5 kg,৳ 200,170
2106,PRAN Chinigura Rice,Rice,2 kg,৳ 255,119
2107,Atop Rice,Rice,1 kg,৳ 45,109
2108,Fresh Chinigura Rice,Rice,1 kg,৳ 125,121
2109,Katarivog Rice,Rice,1 kg,৳ 110,71
2110,PRAN Miniket Rice,Rice,5 kg,৳ 325,193
2111,Khusboo Premium Chinigura Rice,Rice,1 kg,৳ 130,181
2112,ACI Pure Miniket Rice,Rice,10 kg,৳ 700,185
2113,Khusboo Premium Kalijira Rice,Rice,1 kg,৳ 130,20
2114,Purnava Low G.I. Rice,Rice,5 kg,৳ 552,167
2115,Teer Chinigura Rice,Rice,1 kg,৳ 130,113
2116,BPM Dheki Chata Rice,Rice,1 kg,৳ 90,110
2117,BPM Chinigura Rice (Khud),Rice,1 kg,৳ 70,119
2118,Khusboo Premium Nazirshail Rice,Rice,5 kg,৳ 415,200
2119,BPM Red Binne Rice,Rice,1 kg,৳ 116,73
2120,Daawat Biryani Basmati Rice,Rice,1 kg,৳ 350,54
2121,BPM Kaun Rice,Rice,500 gm,৳ 70,70
2122,BPM Biroi Rice,Rice,1 kg,৳ 105,188
2123,Shaad Chinigura Aromatic Rice,Rice,1 kg,৳ 120,124
2124,BPM White Binni Rice,Rice,1 kg,৳ 100,9
2125,Ispahani Agomoni Kalijira Rice,Rice,1 kg,৳ 120,147
2126,ACI Aroma  Aromatic Chinigura Rice,Rice,1 kg,৳ 130,41
2127,Ispahani Agomoni Banglamoti Rice,Rice,5 kg,৳ 375,13
2128,Khusboo Premium Katarivog Rice,Rice,5 kg,৳ 580,113
2129,BPM Amon Rice,Rice,1 kg,৳ 90,99
2130,ACI Pure Nazirshail Rice,Rice,5 kg,৳ 450,162
2131,Basmati Rice,Rice,1 kg,৳ 250,33
2132,Kohinoor Extra Long Basmati Rice,Rice,1 kg,৳ 350,75
2133,Purnava Low G.I. Rice,Rice,1 kg,৳ 120,170
2134,Pran Basmati Rice,Rice,1 kg,৳ 300,162
2135,Ispahani Agomoni Tulshimala Rice,Rice,1 kg,৳ 115,81
2136,Teer Miniket Rice,Rice,5 kg,৳ 360,184
2137,Ispahani Agomoni Badshabhog Rice,Rice,1 kg,৳ 125,178
2138,Khusboo Premium Bashmati Rice,Rice,1 kg,৳ 350,141
2139,Slim Rice,Rice,200 gm,৳ 410,135
2140,ACI Nutrilife Low GI Rice,Rice,1 kg,৳ 130,173
2141,Aaba Extra Long Premium Basmati Rice,Rice,1 kg,৳ 330,146
2142,ACI Pure Miniket Rice,Rice,5 kg,৳ 360,13
2143,Ispahani Agomoni Chinigura Rice,Rice,1 kg,৳ 130,8
2144,ACI Aroma Pure Basmati Rice,Rice,1 kg,৳ 325,67
2145,Ispahani Agomoni Kataribhog Rice,Rice,5 kg,৳ 550,156
2146,Ispahani Agomoni Miniket Rice,Rice,5 kg,৳ 370,115
2147,Neelam Rozana Long Grain Aromatic Rice,Rice,1 kg,৳ 220,101
