product_id,product_name,product_type,product_quanity,product_price,total_products
2201,Fresh Refined Sugar,Salt & Sugar,1 kg,৳ 72,151
2202,ACI Pure Salt,Salt & Sugar,1 kg,৳ 35,14
2203,Fresh Super Premium (Vacuum) Salt,Salt & Sugar,1 kg,৳ 35,15
2204,Rock Salt (Bit Lobon),Salt & Sugar,100 gm,৳ 35,146
2205,Smc Orsaline-N,Salt & Sugar,20 pcs,৳ 100,172
2206,Sugarcandy (Tal Misri),Salt & Sugar,200 gm,৳ 40,187
2207,Top Testing salt,Salt & Sugar,100 gm,৳ 35,167
2208,Equal Sugar 100 Tablets,Salt & Sugar,,৳ 130,78
2209,Khaas Food Jhola Gur,Salt & Sugar,500 gm,৳ 180,188
2210,My Organic Root Khejur Gur (Patali),Salt & Sugar,500 gm,৳ 270,10
2211,Fresh White Sugar,Salt & Sugar,250 gm,৳ 45,135
2212,My Organic Root Khejur Gur Powder,Salt & Sugar,150 gm,৳ 130,94
2213,Canderel Calorie Sweetener Jar,Salt & Sugar,40 gm,৳ 155,63
2214,SIS White Icing Sugar,Salt & Sugar,500 gm,৳ 245,153
2215,Astha Khejur Gur (Jhola),Salt & Sugar,500 gm,৳ 195,64
2216,Canderel Sugar 100 Tablets,Salt & Sugar,,৳ 130,166
2217,Sis White Sugar Cube,Salt & Sugar,454 gm,৳ 205,114
2218,Suito Calorie & Fat Free Sweetener Tablets,Salt & Sugar,100 pcs,৳ 135,103
2219,Sis White Sugar,Salt & Sugar,1 kg,৳ 235,94
2220,Canderel Sugar,Salt & Sugar,75 gm,৳ 300,53
2221,Premium Grade French Celtic Sea Salt 250 g,Salt & Sugar,,৳ 494,24
