product_id,product_name,product_type,product_quanity,product_price,total_products
2301,Teer Whole Wheat Atta,Diabetic Food,2 kg,৳ 82,121
2302,Bisk Club Sugar Free Cracker Biscuit,Diabetic Food,180 gm,৳ 50,123
2303,Saffola Active Oil (Blended Edible Vegetable Oil),Diabetic Food,5 ltr,৳ 940,120
2304,Danish Nutri Rich Diabetic Biscuits,Diabetic Food,210 gm,৳ 75,137
2305,Quaker Oats Australia,Diabetic Food,1 kg,৳ 575,180
2306,Purnava Chinigo Premium Sweetener 30 Sachets,Diabetic Food,,৳ 120,200
2307,Purnava Low G.I. Rice,Diabetic Food,5 kg,৳ 552,45
2308,Finlays Pure Green Tea Box,Diabetic Food,125 gm,৳ 85,8
2309,Lipton Green Tea Bag Pure & Light,Diabetic Food,25 pcs,৳ 120,145
2310,Mentos Pure Fresh Chewing Sugarfree Gum (Green Tea Fresh Mint),Diabetic Food,29.7 gm,৳ 110,83
2311,Zero Cal Box 150 Sachets,Diabetic Food,,৳ 320,73
2312,Wrigley's Eclipse Sugar Free Peppermint 50 pcs,Diabetic Food,35 gm,৳ 185,157
2313,Halda Valley Dragon Well Green Tea,Diabetic Food,55 gm,৳ 475,179
2314,Zero Cal Box 75 Sachets,Diabetic Food,,৳ 185,89
2315,Suger Free Sugar Lite Pouch,Diabetic Food,500 gm,৳ 152,86
2316,Quaker Instant Oatmeal Jar,Diabetic Food,1 kg,৳ 650,80
2317,Equal Stevia Sugar 200 Tablets,Diabetic Food,,৳ 375,118
2318,Well Food Sugar Free Cookies,Diabetic Food,300 gm,৳ 220,193
2319,Equal Gold Sticks with Free Container (50X.08 gm),Diabetic Food,40 gm,৳ 150,179
2320,Twinings Green Tea & Lemon 25 bags,Diabetic Food,,৳ 450,73
2321,IKO Sugar Free Oatmeal Crackers 9 Grains,Diabetic Food,220 gm,৳ 430,99
2322,PRAN Sugar Free Orange Jelly,Diabetic Food,500 gm,৳ 190,7
2323,Lowan Whole Grain Rolled Oats,Diabetic Food,1 kg,৳ 975,52
2324,Ensure Diabetes Care Adult Nutrition Health Drink,Diabetic Food,400 gm,৳ 947,33
2325,Equal Sugar 100 Tablets,Diabetic Food,,৳ 130,108
2326,Suger Free Sugar Lite Jar,Diabetic Food,500 gm,৳ 198,149
2327,Halda Valley Dragon Well Green Tea,Diabetic Food,30 gm,৳ 265,157
2328,Vitalia Sugar Free Corn Flakes,Diabetic Food,300 gm,৳ 465,63
2329,Zero Cal Box (50 Pcs Free) 150 Sachets,Diabetic Food,,৳ 320,15
2330,IKO Premium Sugar Free Oatmeal Crackers Original,Diabetic Food,178 gm,৳ 345,155
2331,Canderel Calorie Sweetener Jar,Diabetic Food,40 gm,৳ 155,127
2332,Tiffany Sugar free Orange Flavored Cream Biscuits,Diabetic Food,162 gm,৳ 270,190
2333,Canderel Sugar 100 Tablets,Diabetic Food,,৳ 130,145
2334,ACI Nutrilife Low GI Rice,Diabetic Food,1 kg,৳ 130,88
2335,Suito Calorie & Fat Free Sweetener Tablets,Diabetic Food,100 pcs,৳ 135,17
2336,Canderel Sugar Jar,Diabetic Food,75 gm,৳ 280,77
2337,Stute Fine Cut Diabetic Orange Extra Marmalade,Diabetic Food,430 gm,৳ 365,153
2338,Suito Calorie & Fat Free Sweetener Box 50 Sachets,Diabetic Food,,৳ 175,147
2339,Orion Dr. Xylitol Sugar Free Melon Mint Candy Green Tea,Diabetic Food,32 gm,৳ 175,188
2340,Canderel Sugar,Diabetic Food,75 gm,৳ 300,73
2341,Britannia Nutri Choice Sugar Free Crackers Biscuit,Diabetic Food,300 gm,৳ 130,118
2342,Stevia Leaves Sweetener,Diabetic Food,100 gm,৳ 650,163
