product_id,product_name,product_type,product_quanity,product_price,total_products
2001,Guava Thai (Net Weight ± 50 gm),Fresh Fruits,1 kg,৳ 110,171
2002,Green Coconut (Daab),Fresh Fruits,each,৳ 61,111
2003,Chompa Banana,Fresh Fruits,12 pcs,৳ 62,19
2004,Banana Sagor (Kola),Fresh Fruits,12 pcs,৳ 115,186
2005,Malta (Net Weight ± 50 gm),Fresh Fruits,1 kg,৳ 145,64
2006,Green Apple (Net Weight ± 50 gm),Fresh Fruits,1 kg,৳ 195,113
2007,Green Grapes,Fresh Fruits,250 gm,৳ 65,67
2008,Pomegranate Dalim/Bedana (Net Weight ± 50 gm),Fresh Fruits,700 gm,৳ 210,83
2009,Coconut,Fresh Fruits,each,৳ 52,68
2010,Orange,Fresh Fruits,1 kg,৳ 200,95
2011,Pear (Nashpati) Net Weight (± 30 gm),Fresh Fruits,500 gm,৳ 105,95
2012,Paka Pape (Net Weight ± 50 gm),Fresh Fruits,1 kg,৳ 135,178
2013,Gala Apple (Net Weight ± 50 gm),Fresh Fruits,1 kg,৳ 210,15
2014,Red Grapes,Fresh Fruits,250 gm,৳ 130,170
2015,Green Orange (Sobuj Komola),Fresh Fruits,1 kg,৳ 150,75
2016,Pineapple,Fresh Fruits,each,৳ 65,111
2017,Banana Sobri (Kola),Fresh Fruits,12 pcs,৳ 115,47
2018,Amla (Amloki),Fresh Fruits,250 gm,৳ 80,36
2019,Sour Plum Red (Tok Boroi),Fresh Fruits,500 gm,৳ 85,84
2020,Sapodilla (Sofeda),Fresh Fruits,1 kg,৳ 135,25
2021,Green Plum (Kul Boroi),Fresh Fruits,500 gm,৳ 80,103
2022,Pear Red (Nashpati) Net Weight (± 30 gm),Fresh Fruits,500 gm,৳ 135,171
2023,China Fuji Apple (Net Weight ± 50 gm),Fresh Fruits,1 kg,৳ 190,29
2024,Kiwi,Fresh Fruits,500 gm,৳ 410,73
2025,Black Grapes,Fresh Fruits,250 gm,৳ 110,51
2026,Dragon Fruit (Net Weight ± 50 gm) Local,Fresh Fruits,1.2 kg,৳ 725,107
2027,Avocado Fruit,Fresh Fruits,600 gm,৳ 950,50
2028,Peach (Net Weight ± 50 gm),Fresh Fruits,500 gm,৳ 615,175
2029,Red Plum,Fresh Fruits,500 gm,৳ 445,111
