product_id,product_name,product_type,product_quanity,product_price,total_products
3001,Bombay Sweets Ring Chips,Chips-Pretzels,22 gm,৳ 10,20
3002,Bombay Sweets Mr. Twist,Chips-Pretzels,22 gm,৳ 15,79
3003,Bombay Sweets Potato Crackers,Chips-Pretzels,22 gm,৳ 10,129
3004,Lay's Italian Shape Pastazz Chips,Chips-Pretzels,37 gm,৳ 20,54
3005,Lay's American Style Cream & Onion,Chips-Pretzels,52 gm,৳ 50,120
3006,Ifad Eggy Stix Bar-B-Q Chips,Chips-Pretzels,25 gm,৳ 10,174
3007,Sun Chips Salt & Pepper,Chips-Pretzels,22 gm,৳ 15,24
3008,Bombay Sweets Nachoz Chutney & Lime,Chips-Pretzels,30 gm,৳ 15,8
3009,Alooz Waves Hot  Flavour Potato Chips,Chips-Pretzels,22 gm,৳ 15,75
3010,King French Fry,Chips-Pretzels,15 gm,৳ 10,59
3011,Spicy Potato Stick,Chips-Pretzels,15 gm,৳ 10,31
3012,Bombay Sweets Alooz Spanish Tomato Flavor,Chips-Pretzels,22 gm,৳ 15,194
3013,Sun Chips Mix Masala,Chips-Pretzels,22 gm,৳ 15,194
3014,Ifad Eggy Pillow Bar-B-Q Chips,Chips-Pretzels,25 gm,৳ 10,84
3015,Poppers Corn Coconut Puffs Chips,Chips-Pretzels,25 gm,৳ 15,161
3016,Krispy Chips Combo,Chips-Pretzels,3 pcs,৳ 30,41
3017,Bombay Sweets Alooz Magic Masala,Chips-Pretzels,22 gm,৳ 15,56
3018,Sun Chips Mix Masala,Chips-Pretzels,38 gm,৳ 25,21
3019,Kurkure Masala Manch Chips,Chips-Pretzels,45 gm,৳ 25,195
3020,Bombay Sweets Nachoz Spicy Nacho Cheese,Chips-Pretzels,30 gm,৳ 15,35
3021,Sun Chips Tomato Tango,Chips-Pretzels,22 gm,৳ 15,83
3022,Sun Chips Wasabi,Chips-Pretzels,38 gm,৳ 25,134
3023,Sun Chips Tomato Tango,Chips-Pretzels,80 gm,৳ 50,120
3024,Lay's Mexican Shape 3D Chips,Chips-Pretzels,37 gm,৳ 20,123
3025,Kurkure Spanish Tomato Tango Chips,Chips-Pretzels,45 gm,৳ 25,43
3026,Doritos Spicy Sweet Chili Chips,Chips-Pretzels,39 gm,৳ 65,22
3027,Kurkure Salt & Papper,Chips-Pretzels,45 gm,৳ 25,14
3028,Kurkure Tak Misti Jhal Chips ( Buy 2 Get 1 Free),Chips-Pretzels,45 gm,৳ 50,155
3029,Kurkure Chili Chatka Chips,Chips-Pretzels,90 gm,৳ 50,145
3030,Pringles Potato Chips Pizza Flavour,Chips-Pretzels,158 gm,৳ 250,95
3031,Kurkure Tak Misti Jhal Chips,Chips-Pretzels,45 gm,৳ 25,126
3032,Pringles Original Potato Crisps,Chips-Pretzels,37 gm,৳ 99,87
3033,Pringles Jalapeno,Chips-Pretzels,158 gm,৳ 250,147
3034,Pringles BBQ Potato Chips,Chips-Pretzels,158 gm,৳ 250,24
3035,Kurkure Spanish Tomato Tango Flavor Chips,Chips-Pretzels,90 gm,৳ 50,181
3036,Sun Chips Tomato Tango,Chips-Pretzels,38 gm,৳ 25,167
3037,Pringles Sweet Chili Potato Chips,Chips-Pretzels,147 gm,৳ 225,51
3038,Mister Potato Orignal Crisps,Chips-Pretzels,100 gm,৳ 160,165
3039,Tostitos Hint Of Lime Tortilla Chips,Chips-Pretzels,283 gm,৳ 525,195
3040,Kurkure Tak Misti Jhal Chips,Chips-Pretzels,90 gm,৳ 50,108
3041,Mister Potato BBQ Crisps,Chips-Pretzels,100 gm,৳ 160,125
3042,Tostitos Scoops Corn Chips,Chips-Pretzels,283 gm,৳ 525,155
3043,Sun Chips 80 gm (Buy 2 Get 1),Chips-Pretzels,,৳ 100,195
3044,Doritos Spicy Nacho Tortilla,Chips-Pretzels,31.8 gm,৳ 92,37
3045,Mister Potato Hot & Spicy Crisps,Chips-Pretzels,100 gm,৳ 160,136
3046,Ligo Potato Chips Cheese Flavour,Chips-Pretzels,160 gm,৳ 250,118
3047,Ligo Potato Chips Original Flavour,Chips-Pretzels,160 gm,৳ 250,187
3048,Tostitos Crispy Rounds Tortilla Chips,Chips-Pretzels,283 gm,৳ 525,161
3049,Sun Chips Prawn Crackers,Chips-Pretzels,20 gm,৳ 15,191
3050,Sun Chips Garlic & Chilli,Chips-Pretzels,22 gm,৳ 15,33
