product_id,product_name,product_type,product_quanity,product_price,total_products
4301,RFL Click 4 Socket Multiplug (2 Pin),Lights & Electrical,each,৳ 585,149
4302,Miyako Electric Auto Kettle,Lights & Electrical,each,"৳ 1,050",131
4303,Blaze Energy Saving Daylight Bulb (Pin) 15 w,Lights & Electrical,,৳ 265,184
4304,Super Star LED Light White 15 W (Screw),Lights & Electrical,,৳ 350,81
4305,Super Star LED Light White 18 W (Screw),Lights & Electrical,,৳ 400,167
4306,BSM Half Spiral Energy Light (Screw) 30 Watt,Lights & Electrical,,৳ 331,88
4307,Super Star LED Light White 18 W (Pin),Lights & Electrical,,৳ 400,25
4308,Blaze Energy Saving Daylight (Pin) 26 w,Lights & Electrical,,৳ 310,46
4309,BSM Half Spiral Energy Light (Pin) 30 Watt,Lights & Electrical,,৳ 331,184
4310,many 3 Socket Power Converter Multi Plug (3 Pin),Lights & Electrical,each,৳ 450,158
4311,BSM Cup Shape LED Bulb (Screw) 15 Watt,Lights & Electrical,,৳ 300,188
4312,BSM Cup Shape LED Bulb (Pin) 15 Watt,Lights & Electrical,,৳ 300,119
4313,Transcend 16 GB USB 3.0 Pen Drive,Lights & Electrical,each,৳ 650,161
4314,BSM Cup Shape LED Bulb (Pin) 18 Watt,Lights & Electrical,,৳ 350,159
4315,Blaze Energy Saving Daylight (Pin) 30 w,Lights & Electrical,,৳ 300,51
4316,BSM Cup Shape LED Bulb (Screw) 18 Watt,Lights & Electrical,,৳ 350,96
4317,BSM Lotus Energy Light (Screw) 35 Watt,Lights & Electrical,,৳ 397,57
4318,BSM Half Spiral Energy Light (Pin) 40 Watt,Lights & Electrical,,৳ 419,157
4319,Bright Star Rechargeable SMD Torch Light,Lights & Electrical,each,৳ 570,159
4320,RFL Click 3 Socket Multiplug (2 Pin),Lights & Electrical,each,৳ 585,179
4321,Supermoon LED Rechargeable Emergency Light,Lights & Electrical,each,৳ 600,102
4322,Blaze Led Rechargeable Lamp (BLZ-5706),Lights & Electrical,each,৳ 750,188
4323,BSM Lotus Energy Light (Screw) 45 Watt,Lights & Electrical,,৳ 569,24
4324,RFL Vigo Fan Heater (2000 W),Lights & Electrical,each,"৳ 1,300",95
4325,Blaze Energy Saving Daylight (Pin) 23 w,Lights & Electrical,,৳ 295,98
4326,BSM Half Spiral Energy Light (Screw) 40 Watt,Lights & Electrical,,৳ 419,199
4327,RFL Click Room Comforter Homey,Lights & Electrical,each,"৳ 1,300",196
4328,Sunlite Super Econo Flash Light,Lights & Electrical,each,৳ 220,78
4329,BSM Back Up LED Bulb (Screw) 18 Watt,Lights & Electrical,,৳ 499,6
4330,BSM Back Up LED Bulb (Pin) 18 Watt,Lights & Electrical,,৳ 499,103
