product_id,product_name,product_type,product_quanity,product_price,total_products
4401,Sewing Thread Box Set,Tools & Hardware,each,৳ 140,163
4402,Feather Paint Brush,Tools & Hardware,each,৳ 35,156
4403,"Roasting Clamp Stainless Steel 9"" Kitchen Tool",Tools & Hardware,each,৳ 100,117
4404,Nail Cutter,Tools & Hardware,each,৳ 115,58
4405,Philips Tester 3.5X52 mm,Tools & Hardware,,৳ 25,29
4406,SME Ball Peen Big Hammer 550 gm (China),Tools & Hardware,,৳ 190,115
4407,HMBR (3mmX10ft) Measurement Tape (USA),Tools & Hardware,,৳ 140,171
4408,Can & Bottle Opener,Tools & Hardware,each,৳ 280,50
4409,"Hibo Side Cutting Pliers 8""x 200 mm",Tools & Hardware,,৳ 120,129
4410,Jackly Hardware Tools,Tools & Hardware,each,৳ 145,35
4411,"Steel Wire (22""x6"") Wall 6 Hook Brown Hanger (China)",Tools & Hardware,each,৳ 280,104
4412,Mobaj Premium 7 Levers Lock (India),Tools & Hardware,,৳ 460,6
4413,HMBR Top Security Pad Lock,Tools & Hardware,each,৳ 295,60
4414,Jumbo Plane Cricket Tennis Ball,Tools & Hardware,3 pcs,৳ 90,173
4415,Umbrella Black Auto Open Wind Proof,Tools & Hardware,each,৳ 415,36
4416,Angel Bear Toothbrush Holder (Cream),Tools & Hardware,,৳ 210,172
4417,Fujimoto Long Nose Pliers,Tools & Hardware,1 pc,৳ 175,50
4418,"Screw Driver 9"" Hexagon Blade 2 in 1 (China)",Tools & Hardware,,৳ 85,48
4419,Skimming Spoon,Tools & Hardware,each,৳ 150,97
4420,Camel Glue Gun 80 W GG-5 Machine,Tools & Hardware,each,৳ 320,52
4421,Golden Wing Badminton (GW 907),Tools & Hardware,each,৳ 520,46
4422,RFL Weighting Scale,Tools & Hardware,each,"৳ 1,000",198
4423,Stainless Steel Rice Spoon,Tools & Hardware,each,৳ 150,197
4424,AFO Fire Extinguishers Ball,Tools & Hardware,each,"৳ 1,580",141
4425,Cutting Pliers China,Tools & Hardware,each,৳ 200,27
4426,Golden Wings Badminton Cork 1 Box,Tools & Hardware,12 pcs,৳ 480,117
