product_id,product_name,product_type,product_quanity,product_price,total_products
4001,Peanut Raw (Kacha Cheena Badam),Popcorn & Nuts,100 gm,৳ 30,171
4002,PRAN Badam Bhaja 30 gm,Popcorn & Nuts,4 pcs,৳ 32,63
4003,ACT II Popcorn Butter Delite,Popcorn & Nuts,70 gm,৳ 35,57
4004,Noi Salted Peanuts,Popcorn & Nuts,110 gm,৳ 150,85
4005,Nut Candy Salted Peanuts,Popcorn & Nuts,150 gm,৳ 230,113
4006,Fit Food Honey Roasted Almonds,Popcorn & Nuts,300 gm,৳ 400,39
4007,Fit Food BBQ Almonds,Popcorn & Nuts,100 gm,৳ 230,135
4008,Tong Garden Salted Peanuts Can,Popcorn & Nuts,150 gm,৳ 325,62
4009,Noi Party Snack,Popcorn & Nuts,128 gm,৳ 145,139
4010,Fit Food Roasted Cashews,Popcorn & Nuts,100 gm,৳ 260,133
4011,Noi Cuttlefish Coated Green Peas,Popcorn & Nuts,128 gm,৳ 150,173
4012,Fit Food Spiced Mixed Nuts,Popcorn & Nuts,100 gm,৳ 260,13
4013,Nut Candy Salted Pistachios,Popcorn & Nuts,140 gm,৳ 400,72
4014,Kazi Farms Kitchen Chicken Popcorn,Popcorn & Nuts,250 gm,৳ 250,76
4015,Tong Garden Japanese Rice Cracker Mixed Coated Peanuts,Popcorn & Nuts,160 gm,৳ 275,103
4016,Noi Salted Green Peas,Popcorn & Nuts,128 gm,৳ 140,183
4017,Tong Garden Salted Pistachios,Popcorn & Nuts,130 gm,৳ 495,121
4018,Tong Garden Seaweed & Wasabi Cashew Nuts,Popcorn & Nuts,150 gm,৳ 495,189
4019,Tong Garden Salted Almonds,Popcorn & Nuts,140 gm,৳ 495,178
4020,Crunchos Pistachio Nut Tin,Popcorn & Nuts,350 gm,"৳ 1,040",13
4021,Noi Salted Cocktail Nuts,Popcorn & Nuts,128 gm,৳ 330,134
4022,Nuttos Organic Mixed Nuts,Popcorn & Nuts,400 gm,৳ 799,195
4023,Crunchos Assorted Mix Nuts Tin,Popcorn & Nuts,350 gm,"৳ 1,040",111
4024,Crunchos Nut Cashew Tin,Popcorn & Nuts,350 gm,"৳ 1,040",75
