product_id,product_name,product_type,product_quanity,product_price,total_products
5201,Dettol Antiseptic Liquid (Brown) Single Pack,First Aid,500 ml,৳ 155,110
5202,Smc Orsaline-N,First Aid,20 pcs,৳ 100,185
5203,Dettol Antiseptic Liquid (Brown) Single Pack,First Aid,100 ml,৳ 48,120
5204,Cute Krack Cream,First Aid,45 gm,৳ 50,86
5205,Hot Water Bottle with Cover,First Aid,each,৳ 165,174
5206,ENO Lemon Flavor (5 gm*5),First Aid,5 pcs,৳ 65,49
5207,Dettol Antiseptic Liquid (Brown) Single Pack,First Aid,5 ltr,"৳ 1,220",94
5208,Glaxose D Pack,First Aid,200 gm,৳ 90,125
5209,ENO Cola Flavor (5 Gm*5),First Aid,5 pcs,৳ 80,107
5210,Moov Pain Relief Spray,First Aid,35 gm,৳ 235,172
5211,Moov Pain Relief Cream,First Aid,30 gm,৳ 185,73
5212,ENO Orange Flavor (5 gm*5),First Aid,5 pcs,৳ 80,38
5213,Zandu Balm,First Aid,8 ml,৳ 100,86
5214,Glaxose D Pack (BIC),First Aid,400 gm,৳ 155,114
5215,SMC BOLT Glucose Powder,First Aid,200 gm,৳ 70,187
5216,Neobun Gel Analgesic plaster (Cool),First Aid,each,৳ 300,10
