product_id,product_name,product_type,product_quanity,product_price,total_products
5001,Complan Chocolate,Energy Boosters,350 gm,৳ 385,135
5002,Quality Brown Premium Egg,Energy Boosters,12 pcs,৳ 150,157
5003,Purnava Vitamin E Egg,Energy Boosters,12 pcs,৳ 162,29
5004,Purnava Omega 3 Enriched Egg,Energy Boosters,12 pcs,৳ 221,13
5005,Pedia Sure Complete Classic Venilla,Energy Boosters,900 gm,"৳ 1,750",88
5006,Horlicks Jar,Energy Boosters,250 gm,৳ 195,56
5007,Horlicks Jar,Energy Boosters,1050 gm,৳ 695,180
5008,Chocolate Horlicks Jar,Energy Boosters,550 gm,৳ 395,163
5009,Pedia Sure Venilla Delight,Energy Boosters,400 gm,৳ 755,23
5010,Ovaltine Malted Chocolate Drink Jar,Energy Boosters,400 gm,৳ 325,16
5011,Horlicks Jar,Energy Boosters,550 gm,৳ 395,173
5012,Mother's Horlicks Bib,Energy Boosters,350 gm,৳ 490,100
5013,Junior Horlicks Jar(Free Tiffin Box),Energy Boosters,500 gm,৳ 410,130
5014,Horlicks Lite Jar,Energy Boosters,330 gm,৳ 380,49
5015,Cadbury Bourn Vita,Energy Boosters,500 gm,৳ 450,105
5016,Horlicks Jar (Free Pencil Box),Energy Boosters,550 gm,৳ 395,21
5017,Complan Chocolate Jar,Energy Boosters,200 gm,৳ 250,67
5018,Nestle Nesquik Strawberry Powder,Energy Boosters,300 gm,৳ 305,180
5019,Complan Chocolate Jar,Energy Boosters,500 gm,৳ 540,189
5020,Horlicks Growth Plus Jar,Energy Boosters,400 gm,৳ 840,181
5021,Ovaltine Malted Milk Drink Jar,Energy Boosters,400 gm,৳ 325,32
5022,Complan Creamy Classic Plain Bib,Energy Boosters,350 gm,৳ 360,112
5023,Nestle Nestum  Higher in Whole Grain Ceral Milk Drink,Energy Boosters,504 gm,৳ 850,25
5024,Junior Horlicks Refill (Free Tiffin Box),Energy Boosters,450 gm,৳ 390,73
5025,Cadbury Bourn Vita,Energy Boosters,500 gm,৳ 507,156
5026,Nestle Nestum Multigrain Brown Rice Ceral Milk Drink,Energy Boosters,405 gm,৳ 815,119
5027,Pedia Sure Complete Classic Venilla,Energy Boosters,400 gm,"৳ 1,025",102
