product_id,product_name,product_type,product_quanity,product_price,total_products
6201,Dish Washing Scrubbing Pad,Cleaning Accessories,each,৳ 25,16
6202,Flower Broom (Ful Jharu),Cleaning Accessories,each,৳ 55,188
6203,Stainless Steel Scourer,Cleaning Accessories,4 pcs,৳ 40,63
6204,Trash Bag Black,Cleaning Accessories,12 pcs,৳ 150,31
6205,Worki Na Smieci Trash Bag Black (60 L),Cleaning Accessories,20 pcs,৳ 120,39
6206,ACI Wonder Stainless Steel Scrubber,Cleaning Accessories,each,৳ 25,124
6207,Dish Washing Plastic Sponge Multi Color,Cleaning Accessories,5 pcs,৳ 75,142
6208,"Big Broom 31"" (Shola)",Cleaning Accessories,each,৳ 45,109
6209,"Floor Hand Brush 6"" Local",Cleaning Accessories,each,৳ 70,109
6210,Rok Steel Scourer,Cleaning Accessories,each,৳ 28,176
6211,Winmed Latex Examination Gloves (Malaysia),Cleaning Accessories,100 pcs,৳ 380,50
6212,Basin Curve Clean Brush,Cleaning Accessories,each,৳ 50,137
6213,Npoly Design Mug 2 ltr (Blue),Cleaning Accessories,,৳ 38,41
6214,Npoly Dust Pan 8x6 inch (Red),Cleaning Accessories,,৳ 28,120
6215,"Comode Handle Box Brush 23""",Cleaning Accessories,each,৳ 160,197
6216,Glass Wiper Spray(10x10 inch) China,Cleaning Accessories,each,৳ 140,179
6217,"Floor Cleaning Printed Wiper (45""x12"") Mop (China)",Cleaning Accessories,each,৳ 200,88
6218,Cloth Pin 4 Colour (China),Cleaning Accessories,16 pcs,৳ 85,161
6219,Comode Long Handle Clean Brush China,Cleaning Accessories,each,৳ 80,184
6220,"Toilet Brush 24"" Local",Cleaning Accessories,each,৳ 100,190
6221,"Mop Cotton Refill (17"") China",Cleaning Accessories,each,৳ 120,156
6222,Npoly Design Bucket With Lead (Red),Cleaning Accessories,25 ltr,৳ 306,50
6223,Magic Fiber Twist Floor Steel Mop (China),Cleaning Accessories,each,৳ 350,156
6224,Npoly Laundry Basket 15x15 inch (Blue) ,Cleaning Accessories,,৳ 165,194
6225,SS Long Handle Cotton Mop China,Cleaning Accessories,each,৳ 350,91
6226,Plastic Dust Pan,Cleaning Accessories,each,৳ 35,139
6227,Cleaning Long Plastic Mop Brush,Cleaning Accessories,each,৳ 200,190
6228,"Plastic Floor Trapper Mat Red 23""x15"" (China)",Cleaning Accessories,each,৳ 200,167
6229,"Plastic Red Broom (62"") Handle Jhul Jharu (China)",Cleaning Accessories,each,৳ 150,181
6230,"Soft Bed Brush Merun & Ash (14""x1.5"") China",Cleaning Accessories,each,৳ 160,90
6231,Cotton Floor Mat Red (Imported) (16X24 inch),Cleaning Accessories,each,৳ 280,123
6232,RFL Cane Laundry Brown Basket Big,Cleaning Accessories,each,৳ 750,170
6233,Sponge Mop Pva Refill 11 inch (Yellow),Cleaning Accessories,each,৳ 150,142
6234,"Comod Pump Local 17"" (Red)",Cleaning Accessories,each,৳ 120,42
6235,Tyco Dishwasher Scourer,Cleaning Accessories,each,৳ 25,168
6236,Long Handle Dry Mop China,Cleaning Accessories,each,৳ 400,66
6237,Lacy's Chefwrap 45 cm X 300 mtr,Cleaning Accessories,each,৳ 950,124
