product_id,product_name,product_type,product_quanity,product_price,total_products
6001,Telapia Fish 3/4 pcs (Net Weight After Cutting ± 50 gm),Fish,800 gm,৳ 175,100
6002,Pabda Fish,Fish,500 gm,৳ 260,85
6003,Prawn Medium (Chingri),Fish,500 gm,৳ 310,9
6004,Rui Fish (Net Weight ± 60 gm),Fish,1.5 kg,৳ 405,168
6005,Prawn Big (Chingri),Fish,500 gm,৳ 355,115
6006,Rui Fish (Net Weight After Cutting ± 50 gm),Fish,1.3 kg,৳ 425,8
6007,Koi Fish (After Cutting Net Weight ± 50 gm),Fish,800 gm,৳ 225,109
6008,Kaski Fish,Fish,500 gm,৳ 210,85
6009,Prawn Small (Chingri),Fish,500 gm,৳ 255,123
6010,Deshi Pangas (Net Weight ±50 gm),Fish,1.5 kg,৳ 225,51
6011,Shing Fish (After Cutting),Fish,500 gm,৳ 310,114
6012,Mola Fish,Fish,500 gm,৳ 210,24
6013,Tengra Fish Deshi,Fish,500 gm,৳ 305,119
6014,Catla (Katla) Fish After Cutting (Net Weight ±50 gm),Fish,1.3 kg,৳ 425,38
6015,Catla (Katla) Fish (Net Weight ± 50 gm),Fish,1.5 kg,৳ 405,111
6016,Baim Fish Medium,Fish,500 gm,৳ 410,178
6017,Koral Fish (Net Weight ± 50 gm),Fish,1.5 kg,৳ 860,48
6018,Prawn (Galda) 10-12 pcs,Fish,1 kg,"৳ 1,300",184
