product_id,product_name,product_type,product_quanity,product_price,total_products
7001,Chicken Boneless Breast (Net Weight ± 50 gm),Meat,1 kg,৳ 325,169
7002,Cock Chicken Skin Off (Net Weight  ± 30 gm),Meat,500 gm,৳ 220,55
7003,Whole Broiler Chicken Skin Off (Net Weight ± 50 gm),Meat,1 kg,৳ 200,105
7004,Beef Bone in (Net Weight ± 50 gm),Meat,1 kg,৳ 560,76
7005,Whole Broiler Chicken Skin On (Net Weight ± 50 gm),Meat,1 kg,৳ 185,156
7006,Cock Chicken Skin Off (Net Weight  ± 30 gm),Meat,300 gm,৳ 175,151
7007,Beef Boneless (Net Weight ± 50 gm),Meat,1 kg,৳ 660,164
7008,Whole Broiler Chicken Skin Off (Net Weight ± 50 gm),Meat,800 gm,৳ 175,176
7009,Whole Broiler Chicken Skin On (Net Weight ± 50 gm),Meat,800 gm,৳ 160,200
7010,Cow Liver,Meat,500 gm,৳ 276,124
7011,Whole Deshi Chicken Skin Off (Net Weight ± 30 gm),Meat,550 gm,৳ 432,125
7012,Mutton Regular,Meat,1 kg,৳ 820,61
