product_id,product_name,product_type,product_quanity,product_price,total_products
8101,Me O Cat Litter Clumping Apple,Pet Accessories,5 ltr,৳ 330,151
8102,Coziecat Premium Cat Litter Lavender Flavour (Clumping),Pet Accessories,5 ltr,৳ 350,107
8103,Sanicat Cat Litter Bianca Clumping,Pet Accessories,5 ltr,৳ 500,114
8104,Coziecat Premium Cat Litter Lemon Flavour (Clumping),Pet Accessories,10 ltr,৳ 675,185
8105,Sanicat 7 Days Aloe Vera Cat litter,Pet Accessories,4 ltr,৳ 350,8
8106,Coziecat Premium Cat Litter Apple Flavour (Clumping),Pet Accessories,10 ltr,৳ 672,124
8107,Coziecat Premium Cat Litter Coffe Flavour (Clumping),Pet Accessories,10 ltr,৳ 675,53
8108,Coziecat Premium Cat Litter unscented Flavour (Clumping),Pet Accessories,10 ltr,৳ 675,148
8109,Coziecat Premium Cat Litter Lavender Flavour (Clumping),Pet Accessories,10 ltr,৳ 675,96
8110,Coziecat Premium Cat Litter Coffe Flavour (Clumping),Pet Accessories,5 ltr,৳ 350,137
8111,Cature Scooper past,Pet Accessories,each,৳ 299,135
8112,Cature Cat Litter Smart Pellet,Pet Accessories,2.4 kg,৳ 450,73
8113,Cature Scooper Pink,Pet Accessories,each,৳ 299,71
8114,Versele Laga Anti Itch Shampoo,Pet Accessories,250 ml,৳ 520,155
8115,Coziecat Premium Cat Litter unscented Flavour (Clumping),Pet Accessories,5 ltr,৳ 350,20
8116,Hobbyy Short Hair Cat Shampoo,Pet Accessories,300 ml,৳ 420,188
8117,Versele Laga White Hair Shampoo,Pet Accessories,250 ml,৳ 520,84
8118,Cature Cat Litter Sensitive (Scooper Free),Pet Accessories,2.4 kg,৳ 599,112
8119,Cature Cat Litter Freshener (Floral),Pet Accessories,450 ml,৳ 500,24
8120,Versele Laga Cat Dry Shampoo,Pet Accessories,150 ml,৳ 585,68
8121,Cature Cat Litter Tiny Pellet (Scooper Free),Pet Accessories,2.2 kg,৳ 550,90
8122,Purina Dentalife Daily Oral Care 12 Stciks,Pet Accessories,426 gm,৳ 800,179
8123,Pet8 Cotton Bud For Dog & Cat L,Pet Accessories,each,৳ 460,10
8124,Cature Cat Litter Freshener (Ocean),Pet Accessories,450 ml,৳ 500,157
8125,Cature Cat Litter odor control Pellet,Pet Accessories,2.4 kg,৳ 500,28
8126,Versele Laga Universal Shampoo,Pet Accessories,250 ml,৳ 520,135
8127,Versele Laga Perfume Her,Pet Accessories,150 ml,৳ 910,50
8128,Cature Cat Litter Smart Pellet,Pet Accessories,7.6 kg,"৳ 1,450",188
8129,Cature Cat Litter Smart Pellet (Freshener Free),Pet Accessories,7.6 kg,"৳ 1,650",183
8130,Purina Dentalife Daily Oral Care 5 Stciks,Pet Accessories,115 gm,৳ 420,95
8131,Cature Cat Litter Tiny Pellet,Pet Accessories,2.4 kg,৳ 450,43
8132,Cature Cat Litter Freshener (Grassy),Pet Accessories,450 ml,৳ 500,173
8133,Cature Cat Litter Sensitive,Pet Accessories,2.4 kg,৳ 500,86
8134,Versele Laga Puppy Shampoo,Pet Accessories,250 ml,৳ 520,141
8135,Versele Laga Oropharme Oral Spary,Pet Accessories,150 ml,৳ 585,133
8136,Versele Laga Perfume Him,Pet Accessories,150 ml,৳ 910,195
8137,Pet8 Magic Bamboo Charcoal 45 X 60 cm,Pet Accessories,50 pcs,"৳ 3,350",126
8138,Versele Laga Oropharme Cotton Stick,Pet Accessories,56 pcs,৳ 520,150
8139,Versele Laga 2 In 1 Shampoo,Pet Accessories,250 ml,৳ 545,171
8140,Drools Absolute Salmon Oil,Pet Accessories,150 ml,৳ 550,26
8141,Versele Laga Oropharme Opti Breath,Pet Accessories,250 ml,৳ 650,93
8142,Purina Dentalife Daily Oral Care 15 Stciks,Pet Accessories,345 gm,৳ 800,198
8143,Bob Martin Felight Antibacterial 4.2 lbs,Pet Accessories,,৳ 850,98
8144,Versele Laga No Pick (For Bird),Pet Accessories,100 ml,"৳ 1,365",178
8145,Versele Laga Cat Attract,Pet Accessories,200 ml,"৳ 1,560",42
