product_id,product_name,product_type,product_quanity,product_price,total_products
8001,Aarong Dairy Low Fat Yogurt (Sour),Yogurt & Sweet,500 gm,৳ 80,22
8002,Milk Vita Sour Curd,Yogurt & Sweet,500 ml,৳ 80,64
8003,PRAN Sweet Yogurt,Yogurt & Sweet,100 gm,৳ 20,159
8004,PRAN Sour Curd,Yogurt & Sweet,500 ml,৳ 80,61
8005,Aarong Dairy Sweetened Yogurt,Yogurt & Sweet,500 ml,৳ 100,96
8006,Aarong Dairy Gulab Jamun (20±2 pcs),Yogurt & Sweet,1 kg,৳ 320,16
8007,Shokti Plus Sweet Yogurt Mango Combo Pack,Yogurt & Sweet,4 pcs,৳ 196,93
8008,Aarong Dairy Rasgulla (20±2 pcs),Yogurt & Sweet,1 kg,৳ 320,66
8009,Gowala Cup Doi,Yogurt & Sweet,6 pcs,৳ 230,147
8010,Gowala Sweet Curd,Yogurt & Sweet,650 gm,৳ 310,158
