product_id,product_name,product_type,product_quanity,product_price,total_products
9101,Kodomo Baby Bottle Cleansing Refill,Baby Accessories,700 ml,৳ 335,48
9102,Farlin Baby Ultra Thin Cotton Buds Pink (BCB-006),Baby Accessories,190 pcs,৳ 286,76
9103,Angel Baby Feeding Bottle & Nipple Cleanser Refill,Baby Accessories,500 ml,৳ 343,148
9104,Farlin Baby Plastic Steam Cotton Buds Pink (BF-113),Baby Accessories,100 pcs,৳ 186,181
9105,Farlin Baby Clothing Detergent (BF-300-5),Baby Accessories,500 ml,৳ 486,111
9106,Farlin Baby Feeding Bottle & Nipple Cleanser Refill (BF-200-A),Baby Accessories,700 ml,৳ 501,101
9107,Smartcare Bottle & Nipple Brush Set,Baby Accessories,each,৳ 220,71
9108,Smartcare Silicon Nipple (6+ months) L,Baby Accessories,each,৳ 45,186
9109,Farlin Baby Toilet Seat Blue (BF-904),Baby Accessories,each,৳ 386,153
9110,Birthday Celebration Balloon,Baby Accessories,20 pcs,৳ 90,7
9111,Pur Baby Long Handle Soft Tip Spoon (6 Months+) (R. 5404),Baby Accessories,each,৳ 160,75
9112,Farlin Baby Bath Ball Sponge Pink (BF-309A),Baby Accessories,each,৳ 161,162
9113,Angel Nylon & Spong Feeding Bottle Brush Green (BR-1F3),Baby Accessories,each,৳ 229,46
9114,Farlin Baby Feeding Bottle & Nipple Cleanser (BF-200-5),Baby Accessories,500 ml,৳ 486,35
9115,Pur Baby Plastic Bib (Paste) (R.6904),Baby Accessories,each,৳ 240,75
9116,Farlin Baby Milk Powder Container Mixed Colour (BF-183) 4 layer,Baby Accessories,,৳ 400,32
9117,Lion Brush & Comb,Baby Accessories,each,৳ 150,160
9118,Farlin Baby Plastic Steam Cotton Buds Pink (BF-113-2),Baby Accessories,200 pcs,৳ 329,34
9119,Smartcare Baby pacifier Medicine Feeder,Baby Accessories,10 ml,৳ 215,143
9120,Angel Nylon Feeding Bottle Brush Green (BR-1F2),Baby Accessories,each,৳ 215,82
9121,Angel Bear Toothbrush Holder (Cream),Baby Accessories,,৳ 210,154
9122,Angel Baby Powder Puff With Sound (Sky Blue) (BAA-02),Baby Accessories,each,৳ 295,183
9123,Smartcare Silicon Nipple (3+ Months ) M,Baby Accessories,each,৳ 45,34
9124,Farlin Breast Pump Manual Pink (BF-638P),Baby Accessories,each,৳ 358,127
9125,Farlin Breast Pump Luxurious Manual Pink (BF-640),Baby Accessories,each,"৳ 1,250",160
9126,Farlin Baby Safety Pins Mixed Colour (BF-121-6),Baby Accessories,6 pcs,৳ 148,86
9127,Smartcare Silicon Baby Teether (6+ months),Baby Accessories,1 pc,৳ 150,155
9128,Lion Bottle & Nipple Brush,Baby Accessories,each,৳ 170,112
9129,Pur Baby Manicure Set (Blue) (R.6508),Baby Accessories,each,৳ 240,56
9130,Pur Baby Brush & Comb 1 Set (R.6905),Baby Accessories,,৳ 240,67
9131,Angel Breast Pump Normal (Pink) (BAA-22),Baby Accessories,each,৳ 270,47
9132,Lion Brest Pump Set,Baby Accessories,each,৳ 615,149
9133,Kodomo Baby Gift Set Medium 1 Box,Baby Accessories,,৳ 750,197
9134,"Farlin Baby Comfortable cotsheet white (BF-431) (24""X36"")",Baby Accessories,each,৳ 400,91
9135,Angel Baby Water Filled Teether sky Blue 6M+ (ST-4),Baby Accessories,each,৳ 186,170
9136,Lion Manicure Set,Baby Accessories,each,৳ 195,13
9137,Farlin Baby Floss Toothpic Pink & White (BB-50006),Baby Accessories,50 pcs,৳ 200,81
9138,Lion Milk Powder Container,Baby Accessories,each,৳ 240,142
9139,Angel Baby Water Filled Teether Pink 6M+ (ST-6),Baby Accessories,each,৳ 186,21
9140,Farlin Baby Pacifier Clip Set Red (TOP-112-2),Baby Accessories,each,৳ 329,27
9141,Angel Baby Feeding Bottle & Nipple Cleanser,Baby Accessories,500 ml,৳ 415,48
9142,Farlin Baby Silicon Gum Shooter Pink (BF-14103),Baby Accessories,each,৳ 161,149
9143,Farlin Baby Hair Comb & Brush Set Lemon (BF-150A),Baby Accessories,each,৳ 358,145
9144,Pur Baby New Born Gift (Blue) (R.7004) Set 1 Box,Baby Accessories,,"৳ 1,150",60
9145,Lion Silicon Teether,Baby Accessories,each,৳ 100,18
9146,Farlin Tableware Set All in One (PER-246),Baby Accessories,each,৳ 536,163
9147,"Farlin Baby Air-Filled Rubber cotsheet White (BF-433) (24""X36"")",Baby Accessories,each,"৳ 1,280",106
9148,Pur Baby 2 in 1 Microwave Steriliser (R.6301) Set,Baby Accessories,each,"৳ 1,600",118
