product_id,product_name,product_type,product_quanity,product_price,total_products
9001,Dan Cake Vanilla Muffin,Bakery Snacks,25 gm,৳ 15,147
9002,Dan Cake Chocolate Muffin 12 packs,Bakery Snacks,300 gm,৳ 180,126
9003,Wonder Muffin Cake 6 pcs,Bakery Snacks,100 gm,৳ 60,49
9004,PRAN Garlic Toast,Bakery Snacks,250 gm,৳ 45,184
9005,Dan Cake Vanilla Muffin 12 packs,Bakery Snacks,300 gm,৳ 180,24
9006,Dan Cake Chocolate Pound Cake,Bakery Snacks,320 gm,৳ 100,9
9007,Nababi Sweetened Bakhorkhani,Bakery Snacks,400 gm,৳ 140,136
9008,Dan Cake Lemon Pound Cake,Bakery Snacks,320 gm,৳ 100,133
9009,Nababi Premium Bakerkhani,Bakery Snacks,400 gm,৳ 125,126
9010,Nababi Cheesy Bakorkhani,Bakery Snacks,400 gm,৳ 175,106
9011,Nababi Coconut Bakorkhani,Bakery Snacks,400 gm,৳ 160,198
